Genotype,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,Environment
Gen1,59.2308,57.6043,58.5897,57.7657,57.6805,59.5902,56.6825,57.7962,59.3734,59.425,Environment_0
Gen2,57.0228,57.2597,56.3987,56.8171,57.3597,56.0357,56.9664,56.9635,56.2699,56.7167,Environment_0
Gen3,56.0692,57.2947,57.1675,59.0491,56.0894,59.2596,57.888,58.7912,58.2053,56.2918,Environment_0
Gen4,56.407,58.2947,57.1482,58.3775,56.9802,59.9907,57.4968,58.0806,56.0117,57.1495,Environment_0
Gen5,57.3481,57.8162,59.0747,58.8942,58.9451,59.8162,56.2474,59.0774,59.5489,57.4374,Environment_0
Gen6,58.2011,57.1159,57.2286,57.3743,57.4079,58.0792,57.4543,56.9877,57.5794,56.5839,Environment_0
Gen7,59.0133,58.5249,57.9867,57.6717,56.7689,57.0793,58.8337,56.8299,57.927,57.7492,Environment_0
Gen8,57.4608,56.4426,56.7854,58.1805,58.7058,56.9019,57.4867,58.4726,56.7666,57.7922,Environment_0
Gen9,57.4595,60.1262,58.7116,58.5385,58.5048,60.0648,59.6478,60.5104,58.3478,58.1474,Environment_0
Gen10,57.894,57.9498,58.5416,56.2321,58.7295,57.6251,56.9547,57.5641,55.8753,59.7911,Environment_0
Gen11,56.5877,56.4507,57.2043,57.6143,56.8463,57.1026,56.8495,56.6533,57.3386,57.0288,Environment_0
Gen12,57.7546,58.8046,57.731,60.3916,58.6984,56.6574,58.146,58.2916,59.7259,56.0646,Environment_0
Gen13,56.2239,56.7208,57.7068,58.4509,58.1394,56.3675,56.7201,58.5208,57.8951,57.2502,Environment_0
Gen14,56.8147,55.9915,57.6045,56.1012,56.4805,56.5771,57.4297,58.0251,58.5204,56.3755,Environment_0
Gen15,57.9289,58.1129,58.8282,58.9792,58.3937,57.9394,57.5947,57.6746,58.6917,59.0928,Environment_0
Gen16,57.098,57.5215,56.7566,57.5482,58.1072,57.8344,56.9917,57.766,58.5454,58.9462,Environment_0
Gen17,57.1181,57.8821,58.3616,57.4107,55.5115,55.905,56.2159,56.9263,56.0164,58.2619,Environment_0
Gen18,56.494,59.6723,58.0644,57.2315,56.9601,55.3747,58.2206,57.0238,57.9401,56.2133,Environment_0
Gen19,57.2511,56.9079,58.2617,56.3558,56.6297,56.9867,58.7389,59.339,57.2603,57.5541,Environment_0
