Genotype,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,L13,L14,L15,L16,L17,L18,L19,L20,L21,L22,L23,L24,L25,L26,L27,L28,L29,L30,L31,L32,L33,L34,L35,L36,L37,L38,L39,L40,L41,L42,L43,L44,L45,L46,L47,L48,L49,L50,L51,L52,L53,L54,L55,L56,L57,L58,L59,L60,Environment
G1,201.2395,217.2903,229.7204,208.954,202.1969,209.8342,205.0318,197.9713,187.2465,202.1942,153.6932,188.8024,198.2845,207.4051,181.5676,220.0825,201.9195,240.5266,210.659,205.3992,186.1037,214.0142,208.1479,232.7223,235.6318,206.2201,173.0139,202.6661,230.2706,192.6337,188.6995,189.2172,199.8267,212.005,187.213,204.4723,199.9424,196.9109,203.7968,177.5946,207.9435,185.2804,210.0312,211.7376,204.1139,193.4653,192.2419,187.0401,223.9187,193.3008,203.4947,178.5484,201.0484,173.803,204.3809,233.9481,216.9561,185.335,213.463,217.1839,Environment_0
G2,208.9172,204.0968,167.0756,173.5125,208.2686,202.4044,188.6902,188.5017,173.8262,195.4886,208.4376,175.9944,176.4555,175.5572,166.4601,197.0178,182.9936,177.1028,186.182,226.589,224.8018,195.5414,210.6966,196.8647,193.194,211.4647,225.4811,209.3698,218.5128,228.4844,166.5057,199.5476,194.4118,176.9681,210.4771,207.1315,231.8317,207.7309,214.2401,172.2688,186.6114,199.9222,189.3146,210.1319,202.5043,215.8705,202.8724,192.4726,180.1242,220.5189,197.742,195.199,169.6621,187.1042,237.8082,191.8385,213.5595,239.4012,154.1172,194.6389,Environment_0
G3,182.277,175.5052,193.2772,178.5981,185.0561,215.4552,211.5128,188.7182,207.3115,204.7716,204.213,158.3022,207.9935,192.0662,174.9221,251.2969,206.7222,153.1497,194.4314,192.92,209.7263,146.6739,163.9889,198.6822,195.3516,214.1522,191.3304,183.7598,192.7743,155.6435,181.989,188.6443,159.8976,200.6301,215.4479,200.0606,182.3403,179.2917,191.0653,164.6638,179.4302,204.4836,161.7436,194.8744,185.25,195.6413,209.1841,219.6034,195.7152,195.3506,229.6427,215.9123,208.304,199.5092,195.8682,192.6232,180.1307,199.1257,201.4862,188.1757,Environment_0
G4,214.1507,192.1312,189.1172,209.3093,203.9953,181.8439,188.709,179.3534,212.969,195.3845,158.4396,225.8944,180.5802,194.7673,217.6893,220.3098,197.1948,237.7726,193.0294,170.3139,191.6063,223.9603,191.9621,193.5252,206.222,177.023,205.0687,179.6864,186.265,198.0583,171.6305,209.4392,177.463,224.4386,152.3365,216.3488,187.6774,157.8833,201.5127,210.1599,247.8016,179.8441,186.176,189.8465,227.9955,179.0261,208.8631,163.5179,174.633,207.0242,172.8727,209.1692,189.2884,209.3922,235.1158,184.3525,237.1304,210.5327,200.0251,193.1635,Environment_0
G5,203.1498,223.6108,187.0084,186.7796,209.5836,177.9028,215.6721,192.3492,217.255,201.3794,224.4809,211.6343,223.3674,170.6972,184.4212,218.903,181.6882,211.4041,180.3387,216.8717,213.7704,200.8406,201.8202,182.2358,194.1326,216.3864,206.416,186.725,209.9858,222.1407,216.0105,192.781,217.2667,215.3687,225.1569,169.0222,180.8545,200.7122,182.3931,199.9174,204.9572,179.4329,219.3621,214.0197,227.3624,204.4737,191.902,218.3605,198.0602,226.0286,214.0702,206.3656,201.7725,192.6156,207.2017,186.4748,193.6112,204.5224,161.2635,173.0748,Environment_0
G6,210.6655,234.9961,235.7999,220.9775,199.3017,219.7218,203.8214,209.1386,228.7842,192.3747,192.077,216.7262,201.4319,254.5444,233.4736,211.8382,215.2782,198.0044,204.1535,207.3745,234.9265,218.2977,177.8218,236.0866,230.2733,212.3627,188.7534,204.3761,208.8021,191.8866,196.2825,214.7396,193.0391,215.6829,204.4786,170.6329,226.8322,204.5868,234.6256,207.3506,217.2377,188.1808,218.859,193.1741,200.3269,196.2412,203.1217,199.9205,244.2932,200.2353,185.1745,213.8514,194.1418,185.5117,247.2842,224.1506,194.2621,195.5235,216.0548,206.8918,Environment_0
G7,211.9602,189.0828,203.3857,178.9574,235.2749,212.4736,205.0095,207.4543,187.1501,202.4818,205.4444,209.4742,198.3784,195.6408,210.8236,190.9789,196.2377,219.6042,182.5885,199.4379,209.2052,201.1068,191.6401,202.0665,189.3019,188.7641,222.4043,220.1567,219.1739,203.5718,186.9386,207.4382,178.0311,199.447,197.7206,205.0956,231.0854,194.9835,195.1706,188.761,209.6403,252.2186,197.4324,189.0894,200.2795,166.5887,157.1329,175.9444,197.8146,203.2433,203.6817,190.5616,191.0275,233.1053,203.4643,203.937,198.7977,195.4692,184.7217,147.7374,Environment_0
G8,191.6365,197.4699,193.9146,209.8356,187.5223,153.462,200.6468,189.875,161.7729,198.2033,181.9928,184.3292,167.3541,195.0994,229.8604,188.3735,193.0702,201.1026,212.1686,198.9903,189.4636,203.8404,180.8351,225.8799,211.0787,208.9807,200.2535,209.4967,213.5264,218.1047,218.238,220.6439,206.1717,252.6183,161.271,183.6133,174.949,186.9769,216.8228,209.5513,189.3518,196.1931,170.3213,213.2107,194.3162,187.4971,211.7638,188.8203,224.2091,214.5982,180.7358,181.5451,199.2977,213.7271,208.4731,188.2457,206.3841,220.7685,200.3772,216.8105,Environment_0
G9,165.8177,208.0645,229.0994,196.3828,234.6723,200.7781,180.6021,244.5127,190.4167,229.9775,217.5582,215.6716,237.1269,223.2016,239.9133,202.6265,201.4233,208.5432,176.56,224.5736,240.6119,252.6028,234.5201,197.7142,230.7677,201.4449,249.2379,193.5267,213.415,228.5947,234.4219,196.5174,211.4133,243.0231,204.3488,229.7112,194.6705,238.3609,236.0928,229.3343,224.934,200.4996,236.9971,232.1624,199.3519,191.8785,218.7514,227.0763,218.1733,196.197,209.7977,207.001,217.8215,220.3232,213.7029,220.0313,230.1202,209.6706,177.0482,220.5129,Environment_0
G10,198.4122,171.9303,174.4132,186.5688,204.9045,170.2247,209.4831,194.6517,220.1646,178.4753,175.4065,191.2,202.776,213.6021,235.4528,205.6805,217.1316,201.5123,198.9579,212.4503,182.6991,213.7546,221.4737,179.4772,167.8423,199.7378,185.3356,195.6054,155.7069,206.6819,185.9327,185.3797,196.4147,202.9147,199.3762,184.9099,163.1454,174.649,166.7409,179.5315,191.4806,225.7543,175.8897,177.5552,212.5086,211.9859,194.8914,167.0685,183.4359,179.3342,179.8214,224.9256,225.1794,187.4122,185.8589,223.4069,175.5605,168.8359,219.6602,188.9296,Environment_0
