Genotype,L,N,B,R,Ln,Nn,Bn,Rn,Environment
1,2.387,1.253,2.263,0.778,2.788,2.559,2.097,1.179,Environment_0
2,2.282,1.167,2.164,1.087,2.618,2.34,2.6,1.897,Environment_0
3,2.567,0.468,2.354,1.58,2.476,2.874,2.532,2.023,Environment_0
4,2.877,1.445,2.125,1.986,2.917,3.009,3.025,2.166,Environment_0
5,2.392,1.338,2.583,2.035,2.137,2.537,2.524,2.435,Environment_0
6,2.408,0.913,2.451,1.353,2.863,1.877,2.855,2.21,Environment_0
7,2.699,1.239,2.354,1.811,2.974,2.557,2.887,2.766,Environment_0
8,2.457,0.385,1.967,1.165,1.649,1.613,2.645,2.347,Environment_0
9,2.567,1.108,2.236,1.927,3.1,2.24,2.234,2.495,Environment_0
10,2.984,1.796,1.636,1.517,3.005,2.597,2.667,2.887,Environment_0
11,1.663,1.023,1.932,0.455,1.897,2.212,2.08,0.861,Environment_0
12,1.964,0.793,1.951,0.492,1.644,1.885,1.781,0.991,Environment_0
13,1.472,0.577,1.787,0.644,1.967,2.008,2.093,1.147,Environment_0
14,2.72,1.348,2.282,1.022,2.447,2.765,2.567,0.667,Environment_0
15,2.22,1.645,1.978,1.334,2.627,2.353,2.199,1.517,Environment_0
16,1.655,0.859,1.938,0.737,2.255,2.075,2.161,1.442,Environment_0
17,1.722,1.209,1.916,0.487,1.811,1.671,1.76,0.913,Environment_0
18,1.432,1.164,1.865,0.667,1.924,1.493,1.515,1.03,Environment_0
19,1.434,0.595,1.956,0.969,2.729,1.62,2.333,1.125,Environment_0
20,0.998,1.387,1.9,0.793,1.938,1.673,2.526,1.144,Environment_0
21,1.373,1.469,2.062,0.716,1.781,1.853,2.433,0.944,Environment_0
22,2.185,1.865,1.763,0.557,1.475,2.076,2.155,1.521,Environment_0
23,2.405,1.316,1.932,0.622,2.037,2.367,1.891,0.842,Environment_0
24,2.643,2.153,2.403,1.254,2.914,2.331,2.46,1.523,Environment_0
25,2.315,1.148,2.64,1.596,2.662,2.271,2.618,1.751,Environment_0
26,3.211,2.023,1.572,1.556,3.135,2.935,2.153,2.118,Environment_0
27,2.239,2.42,2.312,1.59,3.019,2.755,2.659,2.392,Environment_0
28,2.775,1.706,2.077,0.81,2.774,2.337,1.862,0.928,Environment_0
29,1.848,0.779,2.035,1.359,2.12,1.77,2.567,1.666,Environment_0
30,1.402,0.424,1.684,0.928,2.435,1.11,1.284,1.103,Environment_0
31,2.562,1.595,2.074,0.517,2.317,2.285,1.991,0.996,Environment_0
32,3.003,1.71,2.115,1.042,3.009,2.252,2.707,1.846,Environment_0
33,2.395,2.832,1.849,1.471,3.097,1.865,2.624,1.986,Environment_0
34,2.4,1.704,1.816,0.987,2.349,2.039,2.333,1.574,Environment_0
35,2.341,1.403,1.921,1.141,2.495,2.688,2.296,1.346,Environment_0
36,1.98,0.814,1.569,0.365,1.513,1.737,2.257,0.976,Environment_0
37,2.166,1.467,1.797,1.302,2.817,2.625,2.029,1.346,Environment_0
38,2.341,2.137,1.972,1.114,2.546,2.289,2.377,1.515,Environment_0
39,2.435,2.349,1.938,1.515,2.608,2.545,2.46,1.369,Environment_0
40,1.556,1.77,1.407,1.44,2.428,2.551,2.393,1.203,Environment_0
41,1.967,2.23,1.598,1.669,2.658,2.196,2.341,1.951,Environment_0
42,2.241,1.215,1.76,1.222,2.476,2.366,2.583,2.613,Environment_0
43,1.369,0.975,1.593,1.111,1.738,1.645,2.086,1.496,Environment_0
44,1.456,1.352,1.02,3.07,2.772,3.033,2.037,2.707,Environment_0
45,3.259,2.789,2.377,2.535,3.824,3.752,2.815,1.905,Environment_0
46,1.44,2.269,1.162,3.394,2.998,3.368,2.255,1.983,Environment_0
47,2.298,2.405,1.819,2.938,2.977,3.449,2.349,3.005,Environment_0
48,4.381,2.729,2.25,3.025,3.571,3.084,2.516,2.812,Environment_0
49,2.761,2.81,1.941,3.62,3.437,3.896,3.329,3.998,Environment_0
50,3.375,3.16,1.806,3.084,3.111,3.614,2.891,2.755,Environment_0
51,0.586,0.939,0.983,2.153,1.415,1.75,1.279,1.752,Environment_0
52,0.775,0.466,0.71,2.28,1.862,2.37,1.289,1.919,Environment_0
53,2.748,2.886,1.972,3.286,2.941,3.824,3.16,2.174,Environment_0
54,2.734,1.037,1.838,3.227,1.926,2.45,1.751,2.169,Environment_0
55,2.306,2.327,1.897,3.299,3.049,3.475,1.808,2.056,Environment_0
56,3.17,2.523,1.916,4.126,2.804,3.542,2.565,1.916,Environment_0
57,3.119,2.824,1.983,3.671,3.391,3.585,2.344,2.166,Environment_0
58,1.227,0.617,0.282,2.667,1.44,2.44,1.334,2.298,Environment_0
1,1.445,1.015,0.75,0.9,0.97,0.965,0.725,0.97,Environment_1
2,1.45,1.13,0.71,0.9,0.785,0.835,0.595,0.74,Environment_1
3,1.46,1.155,0.685,0.835,0.955,0.98,0.61,0.835,Environment_1
4,1.26,1.235,0.71,1.005,0.76,0.9,0.7,0.965,Environment_1
5,1.335,1.12,0.71,0.85,0.76,0.975,0.66,0.835,Environment_1
6,1.36,1.105,0.595,0.93,0.65,0.94,0.57,0.825,Environment_1
7,1.3,1.13,0.645,0.9,0.8,0.95,0.685,0.86,Environment_1
8,0.955,1.12,0.595,0.89,0.9,0.915,0.57,0.835,Environment_1
9,1.03,1.04,0.71,0.93,0.825,0.85,0.605,0.885,Environment_1
10,1.155,1.045,0.595,0.85,0.785,0.81,0.57,0.8,Environment_1
11,1.42,1.015,0.65,1.005,0.875,1.08,0.7,0.99,Environment_1
12,1.435,1.095,0.785,1.05,1.155,1.12,0.76,0.91,Environment_1
13,1.585,1.255,0.86,0.995,1.08,1.13,0.89,1.04,Environment_1
14,1.33,1.045,0.725,1.105,0.865,1.13,0.775,0.885,Environment_1
15,1.37,1.025,0.76,1.0,0.675,1.12,0.725,0.99,Environment_1
16,1.7,0.54,0.71,0.965,0.98,1.12,0.75,0.94,Environment_1
17,1.28,1.09,0.685,0.89,0.995,0.97,0.8,1.045,Environment_1
18,1.495,1.04,0.835,1.08,1.245,0.98,0.79,0.915,Environment_1
19,1.37,1.205,0.76,1.215,0.76,1.145,0.69,0.94,Environment_1
20,1.32,1.115,0.685,1.08,0.97,1.045,0.71,0.955,Environment_1
21,1.575,0.94,0.825,0.86,1.105,1.13,0.765,1.07,Environment_1
22,1.345,0.89,0.685,0.98,1.07,0.99,0.725,0.99,Environment_1
23,1.485,1.14,0.825,1.005,0.955,1.03,0.75,0.99,Environment_1
