Genotype,L118,L120,L121,L150,L152,L153,L154,L155,L156,L157,L159,L160,L161,L163,L165,L166,L17,L18,L19,L21,L30,L32,L34,L36,L37,L39,L43,L44,L46,L89,L90,Environment
G1,6.5615,3.2759,6.981,2.6249,2.2808,5.8555,5.2057,4.056,5.0035,4.4531,3.9666,2.1711,3.87,8.1825,4.9127,2.7097,2.6612,6.9276,6.6557,3.1585,6.0107,4.4919,5.8945,7.1754,4.2408,3.8263,4.4969,3.3711,4.7329,4.2684,4.702,Environment_0
G10,5.4808,3.1529,7.2306,3.4484,1.9688,5.9117,5.2894,3.6012,4.9368,3.8403,4.3343,2.9964,3.8797,7.4922,5.4798,2.6143,2.4516,7.186,6.4857,2.726,6.3913,4.7933,6.1186,5.9119,3.7848,3.8899,4.7615,4.0489,4.6416,4.9047,4.8063,Environment_0
G11,4.7133,3.3595,6.9897,3.6786,2.2614,6.5311,5.3349,3.9563,5.4582,4.6542,4.4201,2.4669,3.6722,7.8617,5.339,2.7108,2.3789,7.2816,6.4217,2.7916,6.6687,4.7329,6.9456,6.0151,4.0534,4.1859,5.1939,4.2638,4.5343,3.8226,5.2204,Environment_0
G12,5.8697,3.3949,7.5816,3.2137,1.992,6.498,5.428,3.9886,5.8706,4.5173,4.1025,2.1589,3.338,7.6406,5.7984,2.8705,2.4543,6.4,6.7911,2.816,6.4471,4.2105,6.3224,5.927,4.137,3.9641,4.6763,3.8667,4.9175,4.4784,4.6008,Environment_0
G13,5.7266,3.3975,7.413,2.9435,1.9731,6.7567,5.6847,3.9396,5.933,4.682,3.762,2.8967,3.443,11.2862,6.1133,3.1909,2.723,7.4937,6.923,2.9061,6.2591,4.3054,6.0776,6.0116,3.9473,4.1766,4.9366,3.8745,5.1515,4.6965,4.8007,Environment_0
G14,5.4607,3.5305,7.0433,3.5822,2.3964,6.4661,5.3679,3.9886,5.3138,4.3008,4.3282,3.4334,3.9334,8.2695,5.0102,2.9745,2.5757,7.0157,6.5949,2.6652,6.3887,4.1804,6.2659,5.8494,4.3,3.6754,4.4539,4.1966,3.9476,4.5822,4.4227,Environment_0
G15,5.395,3.2352,7.4193,2.8902,1.7989,6.2348,4.2451,3.8186,5.3739,4.4811,3.875,2.765,3.8206,9.4443,5.4356,2.3157,2.7578,7.5489,6.6471,2.4095,5.7276,4.1949,6.7091,5.9309,3.9564,3.6108,4.2529,4.0911,5.0971,4.6287,5.1988,Environment_0
G16,5.9,2.9962,6.6753,3.4757,2.0963,5.7826,4.5041,4.0341,4.5422,4.2851,3.7441,2.6589,3.655,7.8822,3.8968,2.1241,2.5757,6.9954,6.5485,2.9499,6.0101,4.8118,6.0554,5.7647,3.5875,3.568,4.0727,4.2061,4.8662,4.069,4.4577,Environment_0
G17,5.4025,3.1656,7.1965,2.962,2.3211,6.3189,5.3323,3.7385,5.7471,4.3933,3.5152,2.2838,3.5292,7.326,4.1526,2.0282,2.5588,7.3992,6.4803,2.9031,5.7423,4.3052,6.4627,5.7657,4.0217,4.2975,4.5795,4.3694,3.4616,3.7038,4.8213,Environment_0
G18,5.4742,3.29,6.813,3.2818,1.6219,5.7913,5.3643,4.0208,5.6621,4.1858,3.0541,2.1206,3.3545,6.9246,4.6225,2.6238,2.7046,6.9813,6.6825,2.9346,4.6567,4.1842,6.3716,5.6631,3.7606,3.5822,3.6615,4.1024,5.3747,4.3647,4.7593,Environment_0
